Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
02/10/04,Wolfsburg,M'gladbach,2,1,H,2,1,H,13,11,22,20,8,3,0,4,0,0
03/10/04,Bielefeld,Stuttgart,0,2,A,0,1,A,8,12,9,22,6,3,0,0,0,0
03/10/04,Schalke 04,Bochum,3,2,H,3,0,H,17,19,16,20,4,8,4,3,1,0
16/10/04,Bayern Munich,Schalke 04,0,1,A,0,0,D,8,9,22,17,8,3,3,3,0,0
16/10/04,Bochum,Hansa Rostock,0,1,A,0,0,D,16,16,19,20,7,7,2,3,0,0
16/10/04,Hamburg,Bielefeld,0,2,A,0,0,D,23,11,19,16,6,4,3,1,0,0
16/10/04,Hertha,Leverkusen,3,1,H,1,0,H,13,9,19,20,4,0,4,2,0,0
16/10/04,Mainz,Werder Bremen,2,1,H,0,0,D,14,11,17,21,5,3,1,3,0,0
16/10/04,Nurnberg,Freiburg,3,0,H,1,0,H,13,4,20,14,3,4,4,1,0,0
16/10/04,Stuttgart,Dortmund,2,0,H,0,0,D,18,11,18,23,4,5,2,4,0,0
17/10/04,Hannover,Wolfsburg,3,0,H,1,0,H,12,12,14,14,5,8,0,3,0,0
17/10/04,M'gladbach,Kaiserslautern,2,0,H,0,0,D,13,8,9,27,7,3,1,3,1,1
23/10/04,Bielefeld,Hertha,1,0,H,1,0,H,11,13,19,19,6,1,1,1,0,0
23/10/04,Dortmund,Hamburg,0,2,A,0,1,A,19,8,13,23,4,0,0,5,0,0
23/10/04,Hansa Rostock,Bayern Munich,0,2,A,0,0,D,8,14,17,24,5,11,1,2,1,1
23/10/04,Kaiserslautern,Leverkusen,0,0,D,0,0,D,14,16,25,18,7,3,2,0,0,0
23/10/04,M'gladbach,Hannover,0,2,A,0,2,A,14,8,14,20,6,3,1,2,0,0
23/10/04,Werder Bremen,Nurnberg,4,1,H,2,0,H,19,8,24,20,5,1,1,1,0,0
23/10/04,Wolfsburg,Bochum,3,0,H,3,0,H,21,15,11,16,6,1,2,1,0,0
24/10/04,Freiburg,Stuttgart,2,0,H,1,0,H,13,10,23,14,2,4,0,1,0,1
24/10/04,Schalke 04,Mainz,2,1,H,1,0,H,18,18,26,24,7,4,3,3,0,0
26/10/04,Bayern Munich,Wolfsburg,2,0,H,2,0,H,26,11,11,14,6,3,1,1,0,0
26/10/04,Bochum,M'gladbach,3,0,H,0,0,D,15,16,24,20,3,5,2,6,0,1
26/10/04,Hannover,Kaiserslautern,3,1,H,1,1,D,13,9,11,17,6,1,0,4,0,0
26/10/04,Hertha,Dortmund,0,1,A,0,1,A,16,18,16,18,9,2,2,1,0,0
27/10/04,Hamburg,Freiburg,4,0,H,2,0,H,21,2,16,11,5,1,1,1,0,1
27/10/04,Leverkusen,Bielefeld,3,2,H,0,1,A,18,9,11,11,7,6,2,1,0,0
27/10/04,Mainz,Hansa Rostock,3,1,H,0,0,D,22,5,24,32,1,6,1,3,0,0
27/10/04,Nurnberg,Schalke 04,0,2,A,0,2,A,9,11,18,19,5,8,4,3,2,0
27/10/04,Stuttgart,Werder Bremen,1,2,A,1,0,H,14,10,25,21,7,4,3,5,0,1
30/10/04,Dortmund,Leverkusen,1,0,H,1,0,H,14,16,24,12,5,5,1,4,0,1
30/10/04,Freiburg,Hertha,1,3,A,1,1,D,12,26,13,17,6,12,4,5,0,1
30/10/04,Hannover,Bochum,3,0,H,1,0,H,22,12,16,15,7,3,0,1,0,0
30/10/04,M'gladbach,Bayern Munich,2,0,H,0,0,D,12,16,18,13,3,5,2,2,0,1
30/10/04,Schalke 04,Stuttgart,3,2,H,3,2,H,12,18,26,23,6,6,3,2,0,0
30/10/04,Werder Bremen,Hamburg,1,1,D,0,1,A,20,3,16,33,9,2,1,5,0,0
30/10/04,Wolfsburg,Mainz,4,3,H,2,2,D,19,15,25,22,12,4,2,2,0,1
31/10/04,Hansa Rostock,Nurnberg,0,2,A,0,0,D,13,22,21,12,11,2,2,2,0,0
31/10/04,Kaiserslautern,Bielefeld,2,1,H,0,0,D,25,16,28,15,9,3,2,2,0,0
06/11/04,Bayern Munich,Hannover,3,0,H,1,0,H,14,7,14,16,2,8,2,2,0,0
06/11/04,Bielefeld,Dortmund,1,0,H,1,0,H,16,17,19,19,4,5,2,4,0,1
